"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFOX;Veliparib (ABT-888);0;1e-05;1;1;2;61.63604540965
"ind";FOLFOX;Veliparib (ABT-888);0;3e-06;1;1;13;75.5691205605951
"ind";FOLFOX;Veliparib (ABT-888);0;1e-06;2;1;2;98.4698080792637
"ind";FOLFOX;Veliparib (ABT-888);0;3e-07;2;1;13;97.9002843102911
"ind";FOLFOX;Veliparib (ABT-888);0;1e-07;3;1;2;94.0702563179527
"ind";FOLFOX;Veliparib (ABT-888);0;1e-08;3;1;13;107.488256959215
"ind";FOLFOX;DMSO;0;0;3;1;1;97.9280573033295
"ind";FOLFOX;Veliparib (ABT-888);1e-05;1e-05;4;1;2;53.520009135089
"ind";FOLFOX;Veliparib (ABT-888);1e-05;3e-06;4;1;13;58.4372159396981
"ind";FOLFOX;Veliparib (ABT-888);1e-05;1e-06;5;1;2;75.3193249066008
"ind";FOLFOX;Veliparib (ABT-888);1e-05;3e-07;5;1;13;74.9817911096746
"ind";FOLFOX;Veliparib (ABT-888);1e-05;1e-07;6;1;2;72.3671944503044
"ind";FOLFOX;Veliparib (ABT-888);1e-05;1e-08;6;1;13;79.9506085865966
"ind";FOLFOX;DMSO;1e-05;0;6;1;1;68.5006519073047
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-05;7;1;2;49.3318030768993
"ind";FOLFOX;Veliparib (ABT-888);5e-05;3e-06;7;1;13;57.9027874278983
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-06;8;1;2;64.8008118358755
"ind";FOLFOX;Veliparib (ABT-888);5e-05;3e-07;8;1;13;65.6077446974873
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-07;9;1;2;63.2333957177335
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-08;9;1;13;76.1951580157503
"ind";FOLFOX;DMSO;5e-05;0;9;1;1;65.121410880949
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-05;10;1;2;52.3585109546878
"ind";FOLFOX;Veliparib (ABT-888);1e-04;3e-06;10;1;13;51.922400773644
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-06;11;1;2;68.5709714483309
"ind";FOLFOX;Veliparib (ABT-888);1e-04;3e-07;11;1;13;65.7331586312076
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-07;12;1;2;60.9581392288204
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-08;12;1;13;78.3235821419332
"ind";FOLFOX;DMSO;1e-04;0;12;1;1;66.2944892059505
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;55.9673872161655
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;77.334463607057
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;103.614359895411
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;103.025998231044
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;94.0065171376463
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;106.007804823921
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;1e-05;4;1;3;41.5197536622611
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;3e-06;4;1;14;57.7347946895199
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;1e-06;5;1;3;79.1674166342487
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;3e-07;5;1;14;74.7500591909898
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;1e-07;6;1;3;67.8682921447912
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-05;1e-08;6;1;14;81.4584143782172
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;1e-05;7;1;3;45.8736299785751
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;3e-06;7;1;14;54.0423091388953
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;1e-06;8;1;3;62.5601344974121
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;3e-07;8;1;14;68.5676167546306
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;1e-07;9;1;3;68.6917404215431
"ind";FOLFOX;Erlotinib HCl (OSI-744);5e-05;1e-08;9;1;14;72.7661449472829
"ind";FOLFOX;Erlotinib HCl (OSI-744);1e-04;1e-05;10;1;3;43.5612138055968
