"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-05;1;1;2;61.63604540965
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-06;1;1;13;75.5691205605951
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-06;2;1;2;98.4698080792637
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-07;2;1;13;97.9002843102911
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-07;3;1;2;94.0702563179527
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-08;3;1;13;107.488256959215
"ind";FOLFIRINOX;DMSO;0;0;3;1;1;97.9280573033295
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-05;13;1;2;51.8991759711032
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-06;13;1;13;54.4846126006166
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-06;14;1;2;65.9705677238468
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-07;14;1;13;68.2068581551636
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-07;15;1;2;69.9298804503289
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-08;15;1;13;77.0694428047304
"ind";FOLFIRINOX;DMSO;1e-05;0;15;1;1;67.2134172264812
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-05;16;1;2;44.3885328827722
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-06;16;1;13;45.5417733556033
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-06;17;1;2;55.3823802454991
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-07;17;1;13;58.7664920290542
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-07;18;1;2;51.3350713227235
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-08;18;1;13;65.1729247832513
"ind";FOLFIRINOX;DMSO;5e-05;0;18;1;1;55.1019730114892
