"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-05;1;1;2;55.1915539774627
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-06;1;1;13;54.618743241502
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-06;2;1;2;74.4074621972641
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-07;2;1;13;76.9051257753414
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-07;3;1;2;85.5346043251125
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-08;3;1;13;86.2107558589959
"ind";FOLFIRINOX;DMSO;0;0;3;1;1;83.0313626926019
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-05;13;1;2;19.2602716936572
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-06;13;1;13;21.7114841049914
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-06;14;1;2;32.5249503765187
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-07;14;1;13;38.1314496254385
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-07;15;1;2;32.5500026911666
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-08;15;1;13;41.6145042463347
"ind";FOLFIRINOX;DMSO;1e-05;0;15;1;1;36.5469885845605
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-05;16;1;2;7.28839683127364
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-06;16;1;13;6.55013643399221
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-06;17;1;2;6.90295653195067
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-07;17;1;13;8.54022967883781
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-07;18;1;2;10.158713589739
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-08;18;1;13;9.51700898849649
"ind";FOLFIRINOX;DMSO;5e-05;0;18;1;1;10.1743060459912
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-05;19;1;2;4.05560439524593
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;3e-06;19;1;13;4.027420541267
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-06;20;1;2;4.16546923344158
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;3e-07;20;1;13;4.96166310834637
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-07;21;1;2;6.08118841917611
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-08;21;1;13;5.44392016531918
"ind";FOLFIRINOX;DMSO;1e-04;0;21;1;1;6.97935304354634
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;34.6998044418928
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;48.8105206673441
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;85.6507322419701
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;87.0721901366297
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;82.717523735274
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;90.9359877478524
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-05;13;1;3;12.2231808936957
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;3e-06;13;1;14;17.0068681833973
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-06;14;1;3;41.4774994006038
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;3e-07;14;1;14;36.5040930197662
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-07;15;1;3;37.1390126191249
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-08;15;1;14;40.7251470763329
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-05;16;1;3;6.11615727503886
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;3e-06;16;1;14;7.8121467843821
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-06;17;1;3;9.24169448898008
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;3e-07;17;1;14;9.36512933094336
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-07;18;1;3;10.9220263016684
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-08;18;1;14;10.4843936801622
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-05;19;1;3;3.92068724240235
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;3e-06;19;1;14;5.96636531037306
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-06;20;1;3;5.23645568464094
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;3e-07;20;1;14;6.0924097684455
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-07;21;1;3;7.61903519230424
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-08;21;1;14;6.95619270057754
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-05;1;1;4;35.4725117718152
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;3e-06;1;1;15;70.6472663455751
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-06;2;1;4;87.975639233621
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;3e-07;2;1;15;85.1517736418987
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-07;3;1;4;91.2616678382756
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-08;3;1;15;87.3370661717095
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-05;13;1;4;7.42096532961898
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;3e-06;13;1;15;32.0108560030141
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-06;14;1;4;42.9386234601226
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;3e-07;14;1;15;42.0670116796631
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-07;15;1;4;37.5682944690818
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-08;15;1;15;43.8525110215505
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;1e-05;16;1;4;4.38206737050188
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;3e-06;16;1;15;9.55354361402473
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;1e-06;17;1;4;12.9426520549911
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;3e-07;17;1;15;11.1271421278484
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;1e-07;18;1;4;11.8847136843376
"ind";FOLFIRINOX;Vandetanib (ZD6474);5e-05;1e-08;18;1;15;10.1788076337795
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;1e-05;19;1;4;2.65058708207406
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;3e-06;19;1;15;5.63363925645513
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;1e-06;20;1;4;5.14851162176224
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;3e-07;20;1;15;4.59970935400584
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;1e-07;21;1;4;7.83250179003355
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-04;1e-08;21;1;15;6.33040675760091
"ind";FOLFIRINOX;Vatalanib (PTK787) 2HCl;0;1e-05;1;1;5;78.276740002316
