"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFOX;Veliparib (ABT-888);0;1e-05;1;1;2;95.4345878610681
"ind";FOLFOX;Veliparib (ABT-888);0;1e-07;1;1;13;92.3089539646243
"ind";FOLFOX;Veliparib (ABT-888);0;3e-06;2;1;2;96.0689255714946
"ind";FOLFOX;Veliparib (ABT-888);0;1e-08;2;1;13;95.7708737431709
"ind";FOLFOX;Veliparib (ABT-888);0;1e-06;3;1;2;99.6587990868361
"ind";FOLFOX;Veliparib (ABT-888);0;3e-07;3;1;13;104.000753819128
"ind";FOLFOX;DMSO;0;0;3;1;1;98.7654854027651
"ind";FOLFOX;Veliparib (ABT-888);2e-06;1e-05;13;1;2;94.567370004896
"ind";FOLFOX;Veliparib (ABT-888);2e-06;1e-07;13;1;13;99.6766126800741
"ind";FOLFOX;Veliparib (ABT-888);2e-06;3e-06;14;1;2;98.7539988937107
"ind";FOLFOX;Veliparib (ABT-888);2e-06;1e-08;14;1;13;102.516794606826
"ind";FOLFOX;Veliparib (ABT-888);2e-06;1e-06;15;1;2;102.525918642387
"ind";FOLFOX;Veliparib (ABT-888);2e-06;3e-07;15;1;13;106.281110992535
"ind";FOLFOX;DMSO;2e-06;0;15;1;1;103.860797630792
"ind";FOLFOX;Veliparib (ABT-888);2e-05;1e-05;16;1;2;85.2547710423749
"ind";FOLFOX;Veliparib (ABT-888);2e-05;1e-07;16;1;13;97.1362204931813
"ind";FOLFOX;Veliparib (ABT-888);2e-05;3e-06;17;1;2;85.3475320705777
"ind";FOLFOX;Veliparib (ABT-888);2e-05;1e-08;17;1;13;116.373380517632
"ind";FOLFOX;Veliparib (ABT-888);2e-05;1e-06;18;1;2;100.18907934408
"ind";FOLFOX;Veliparib (ABT-888);2e-05;3e-07;18;1;13;105.227719363131
"ind";FOLFOX;DMSO;2e-05;0;18;1;1;97.601193293508
"ind";FOLFOX;Veliparib (ABT-888);2e-04;1e-05;19;1;2;81.6160187650998
"ind";FOLFOX;Veliparib (ABT-888);2e-04;1e-07;19;1;13;85.5836708004522
"ind";FOLFOX;Veliparib (ABT-888);2e-04;3e-06;20;1;2;59.0511926282137
"ind";FOLFOX;Veliparib (ABT-888);2e-04;1e-08;20;1;13;87.8640279738586
"ind";FOLFOX;Veliparib (ABT-888);2e-04;1e-06;21;1;2;81.1867546158523
"ind";FOLFOX;Veliparib (ABT-888);2e-04;3e-07;21;1;13;85.0744627205756
"ind";FOLFOX;DMSO;2e-04;0;21;1;1;75.4240028936227
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;46.5297572544908
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-07;1;1;14;86.9861654095321
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-06;2;1;3;54.8523983586512
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-08;2;1;14;99.469149490534
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-06;3;1;3;58.916721723161
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-07;3;1;14;81.7441897408367
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;1e-05;13;1;3;47.0417894406124
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;1e-07;13;1;14;91.2221075381641
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;3e-06;14;1;3;56.7992937561998
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;1e-08;14;1;14;105.854236471649
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;1e-06;15;1;3;59.5680040710578
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-06;3e-07;15;1;14;84.1874761206882
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;1e-05;16;1;3;49.2365544708996
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;1e-07;16;1;14;92.5190240214676
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;3e-06;17;1;3;54.7005483382443
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;1e-08;17;1;14;111.034516280837
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;1e-06;18;1;3;65.360028740712
"ind";FOLFOX;Erlotinib HCl (OSI-744);2e-05;3e-07;18;1;14;88.2615752375847
