"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-05;1;1;2;73.2593879208401
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-06;1;1;13;68.1153337479199
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-06;2;1;2;82.7503851040165
"ind";FOLFIRINOX;Veliparib (ABT-888);0;3e-07;2;1;13;77.9642021997782
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-07;3;1;2;84.9450777475331
"ind";FOLFIRINOX;Veliparib (ABT-888);0;1e-08;3;1;13;95.3087785508285
"ind";FOLFIRINOX;DMSO;0;0;3;1;1;87.0400059268505
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-05;13;1;2;25.2285431845457
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-06;13;1;13;36.1620755026757
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-06;14;1;2;36.2718226917382
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;3e-07;14;1;13;36.7645549227233
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-07;15;1;2;32.8134049787428
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-05;1e-08;15;1;13;40.3668745563887
"ind";FOLFIRINOX;DMSO;1e-05;0;15;1;1;43.4257007449059
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-05;16;1;2;29.561422481787
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-06;16;1;13;33.2842882270084
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-06;17;1;2;38.6865119888445
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;3e-07;17;1;13;34.7019607264536
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-07;18;1;2;31.6913215903422
"ind";FOLFIRINOX;Veliparib (ABT-888);5e-05;1e-08;18;1;13;35.9918041201029
"ind";FOLFIRINOX;DMSO;5e-05;0;18;1;1;41.6117956881535
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-05;19;1;2;27.8986395555113
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;3e-06;19;1;13;27.7479569160663
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-06;20;1;2;29.1354928876225
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;3e-07;20;1;13;28.8268446144926
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-07;21;1;2;31.6097018273095
"ind";FOLFIRINOX;Veliparib (ABT-888);1e-04;1e-08;21;1;13;28.7273940724589
"ind";FOLFIRINOX;DMSO;1e-04;0;21;1;1;33.5597863194604
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;67.8576664344689
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;60.2780785326525
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;69.0832185686217
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;71.6177005640867
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;82.2355527525794
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;88.310323361805
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-05;13;1;3;22.1212160214572
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;3e-06;13;1;14;27.3991266057511
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-06;14;1;3;34.1230882532523
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;3e-07;14;1;14;39.9670632863946
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-07;15;1;3;38.0564074182319
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-05;1e-08;15;1;14;45.1354778193585
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-05;16;1;3;25.8403147006925
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;3e-06;16;1;14;26.1597618963159
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-06;17;1;3;28.4963473586432
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;3e-07;17;1;14;32.2488473562888
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-07;18;1;3;25.7707495488154
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);5e-05;1e-08;18;1;14;38.9173075649277
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-05;19;1;3;18.7253316038315
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;3e-06;19;1;14;16.2872864976112
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-06;20;1;3;22.8387165229479
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;3e-07;20;1;14;24.0542231478043
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-07;21;1;3;28.2999576518999
"ind";FOLFIRINOX;Erlotinib HCl (OSI-744);1e-04;1e-08;21;1;14;29.7319450020923
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-05;1;1;4;48.2337640240803
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;3e-06;1;1;15;55.8583055799979
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-06;2;1;4;80.358298202827
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;3e-07;2;1;15;85.0480442178205
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-07;3;1;4;86.0284859251427
"ind";FOLFIRINOX;Vandetanib (ZD6474);0;1e-08;3;1;15;96.1827378596096
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-05;13;1;4;13.6490846186615
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;3e-06;13;1;15;27.1128295908056
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-06;14;1;4;40.8337396009359
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;3e-07;14;1;15;40.1699825741806
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-07;15;1;4;37.0774725373042
"ind";FOLFIRINOX;Vandetanib (ZD6474);1e-05;1e-08;15;1;15;41.4884556693244
