"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Veliparib (ABT-888);0;1e-05;1;1;2;65.4831990175311
"ind";MLN8237;Veliparib (ABT-888);0;3e-06;1;1;13;82.6402089509265
"ind";MLN8237;Veliparib (ABT-888);0;1e-06;2;1;2;89.9069533767962
"ind";MLN8237;Veliparib (ABT-888);0;3e-07;2;1;13;104.084591044373
"ind";MLN8237;Veliparib (ABT-888);0;1e-07;3;1;2;25.1638966174747
"ind";MLN8237;Veliparib (ABT-888);0;1e-08;3;1;13;31.4733214442058
"ind";MLN8237;DMSO;0;0;3;1;1;104.219357340753
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-05;4;1;2;49.2785728346168
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-06;4;1;13;59.0165321549974
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-06;5;1;2;71.0938486986106
"ind";MLN8237;Veliparib (ABT-888);1e-08;3e-07;5;1;13;80.610870031466
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-07;6;1;2;28.2295287145934
"ind";MLN8237;Veliparib (ABT-888);1e-08;1e-08;6;1;13;39.9688571453754
"ind";MLN8237;DMSO;1e-08;0;6;1;1;80.4541568365911
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-05;7;1;2;45.4149785378724
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-06;7;1;13;54.6012980106767
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-06;8;1;2;59.3331315903128
"ind";MLN8237;Veliparib (ABT-888);1e-07;3e-07;8;1;13;73.5058334092318
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-07;9;1;2;26.6918943375827
"ind";MLN8237;Veliparib (ABT-888);1e-07;1e-08;9;1;13;32.4433332256065
"ind";MLN8237;DMSO;1e-07;0;9;1;1;72.5578860465321
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-05;10;1;2;38.7292540111115
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-06;10;1;13;48.0587130949828
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-06;11;1;2;50.6537942867552
"ind";MLN8237;Veliparib (ABT-888);1e-06;3e-07;11;1;13;60.703652234206
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-07;12;1;2;24.8990060728567
"ind";MLN8237;Veliparib (ABT-888);1e-06;1e-08;12;1;13;34.2341061266221
"ind";MLN8237;DMSO;1e-06;0;12;1;1;63.9236765021286
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;55.6425270369924
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;91.2283505745269
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;99.2415833497372
"ind";MLN8237;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;105.881710036519
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;24.6989866820226
"ind";MLN8237;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;33.0076652554449
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-05;4;1;3;39.2616205448824
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-06;4;1;14;54.806958371405
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-06;5;1;3;78.2661068787515
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;3e-07;5;1;14;78.7380680265713
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-07;6;1;3;26.2568345344878
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-08;1e-08;6;1;14;38.5851742383956
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-05;7;1;3;36.9579894643135
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-06;7;1;14;64.5745327837305
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-06;8;1;3;70.3224460655704
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;3e-07;8;1;14;85.0333904285668
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-07;9;1;3;23.7889102057485
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-07;1e-08;9;1;14;37.2388627569653
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-05;10;1;3;33.0589040653177
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;3e-06;10;1;14;51.4912432756407
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-06;11;1;3;53.6279956635044
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;3e-07;11;1;14;63.543410495142
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-07;12;1;3;25.2529769337215
"ind";MLN8237;Erlotinib HCl (OSI-744);1e-06;1e-08;12;1;14;35.252066152124
"ind";MLN8237;Vandetanib (ZD6474);0;1e-05;1;1;4;46.2134108183226
"ind";MLN8237;Vandetanib (ZD6474);0;3e-06;1;1;15;90.7096163846671
