"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-06;4;1;15;78.4264712475355
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-06;5;1;4;92.7881757416941
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-07;5;1;15;91.677700802158
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-07;6;1;4;91.3557287782688
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-08;6;1;15;98.2236439307007
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-05;7;1;4;24.0006050664735
"ind";MLN8237;Vandetanib (ZD6474);1e-07;3e-06;7;1;15;72.8546577626983
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-06;8;1;4;81.4890384747671
"ind";MLN8237;Vandetanib (ZD6474);1e-07;3e-07;8;1;15;91.7735258092679
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-07;9;1;4;100.197639077164
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-08;9;1;15;95.8485526830489
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-05;10;1;4;29.2230679539616
"ind";MLN8237;Vandetanib (ZD6474);1e-06;3e-06;10;1;15;72.73035903919
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-06;11;1;4;88.7175294396667
"ind";MLN8237;Vandetanib (ZD6474);1e-06;3e-07;11;1;15;91.0359470402564
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-07;12;1;4;88.6526422205666
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-08;12;1;15;102.169170152016
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-05;1;1;5;86.4201933406411
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;3e-06;1;1;16;90.4237621376916
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-06;2;1;5;94.966962617638
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;3e-07;2;1;16;98.2874360068624
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-07;3;1;5;91.3488841349038
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-08;3;1;16;100.768756119539
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-05;4;1;5;83.5936294166345
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;3e-06;4;1;16;86.7035615759518
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-06;5;1;5;93.2388270608451
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;3e-07;5;1;16;102.221737013059
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-07;6;1;5;88.1910394720316
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-08;6;1;16;92.8568959610786
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-05;7;1;5;78.1743145859692
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;3e-06;7;1;16;81.1298315909723
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-06;8;1;5;82.4127915433062
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;3e-07;8;1;16;91.644846514006
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-07;9;1;5;101.088537857551
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-08;9;1;16;99.2853850094781
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-05;10;1;5;75.4224941675083
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;3e-06;10;1;16;74.1803282896297
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-06;11;1;5;84.9661173041824
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;3e-07;11;1;16;83.067413234734
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-07;12;1;5;86.499591203675
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-08;12;1;16;91.4323887839567
"ind";MLN8237;Alisertib (MLN8237);0;1e-05;1;1;6;46.5490505966305
"ind";MLN8237;Alisertib (MLN8237);0;3e-06;1;1;17;73.1927831449288
"ind";MLN8237;Alisertib (MLN8237);0;1e-06;2;1;6;87.602673928377
"ind";MLN8237;Alisertib (MLN8237);0;3e-07;2;1;17;95.8006401794939
"ind";MLN8237;Alisertib (MLN8237);0;1e-07;3;1;6;83.7568057144559
"ind";MLN8237;Alisertib (MLN8237);0;1e-08;3;1;17;100.95931099082
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-05;4;1;6;49.7624737636264
"ind";MLN8237;Alisertib (MLN8237);1e-08;3e-06;4;1;17;72.1433624242084
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-06;5;1;6;86.0242991684101
"ind";MLN8237;Alisertib (MLN8237);1e-08;3e-07;5;1;17;92.9324608238281
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-07;6;1;6;90.0831726838497
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-08;6;1;17;94.4281522919459
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-05;7;1;6;43.852261110824
"ind";MLN8237;Alisertib (MLN8237);1e-07;3e-06;7;1;17;67.8117983171075
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-06;8;1;6;86.935184307423
"ind";MLN8237;Alisertib (MLN8237);1e-07;3e-07;8;1;17;89.3532599154071
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-07;9;1;6;94.9951625483018
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-08;9;1;17;95.0255527648424
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-05;10;1;6;49.0777356413927
"ind";MLN8237;Alisertib (MLN8237);1e-06;3e-06;10;1;17;71.9128348356755
