"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Abraxane;Veliparib (ABT-888);0;1e-05;1;1;2;70.5957201862194
"ind";Abraxane;Veliparib (ABT-888);0;3e-06;1;1;13;75.2719786600804
"ind";Abraxane;Veliparib (ABT-888);0;1e-06;2;1;2;93.4039855098599
"ind";Abraxane;Veliparib (ABT-888);0;3e-07;2;1;13;85.0385408296197
"ind";Abraxane;Veliparib (ABT-888);0;1e-07;3;1;2;91.5732420029401
"ind";Abraxane;Veliparib (ABT-888);0;1e-08;3;1;13;98.7020331495857
"ind";Abraxane;DMSO;0;0;3;1;1;99.1034550414694
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-05;7;1;2;55.5140869148726
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-06;7;1;13;58.8734796100762
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-06;8;1;2;65.2708389537207
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-07;8;1;13;64.2075939067547
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-07;9;1;2;69.5223764753066
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-08;9;1;13;70.1733074999892
"ind";Abraxane;DMSO;0.0025;0;9;1;1;69.3395185245563
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-05;10;1;2;59.997893707234
"ind";Abraxane;Veliparib (ABT-888);0.025;3e-06;10;1;13;67.9934387537672
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-06;11;1;2;70.9578294220246
"ind";Abraxane;Veliparib (ABT-888);0.025;3e-07;11;1;13;74.4335010192437
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-07;12;1;2;71.6194361771652
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-08;12;1;13;77.6194852278186
"ind";Abraxane;DMSO;0.025;0;12;1;1;75.6932732799451
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;59.0558326276291
"ind";Abraxane;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;65.3770191917895
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;80.0855789636174
"ind";Abraxane;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;88.801591549438
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-07;3;1;3;87.1938842491138
"ind";Abraxane;Erlotinib HCl (OSI-744);0;1e-08;3;1;14;95.5518270647079
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-05;7;1;3;48.7500018033329
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;3e-06;7;1;14;47.9507646852607
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-06;8;1;3;52.8428460343268
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;3e-07;8;1;14;57.5620959632755
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-07;9;1;3;55.5989156920254
"ind";Abraxane;Erlotinib HCl (OSI-744);0.0025;1e-08;9;1;14;70.6845884289508
"ind";Abraxane;Erlotinib HCl (OSI-744);0.025;1e-05;10;1;3;52.3021347132917
