"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";FOLFOX;Veliparib (ABT-888);0;1e-05;1;1;2;73.2593879208401
"ind";FOLFOX;Veliparib (ABT-888);0;3e-06;1;1;13;68.1153337479199
"ind";FOLFOX;Veliparib (ABT-888);0;1e-06;2;1;2;82.7503851040165
"ind";FOLFOX;Veliparib (ABT-888);0;3e-07;2;1;13;77.9642021997782
"ind";FOLFOX;Veliparib (ABT-888);0;1e-07;3;1;2;84.9450777475331
"ind";FOLFOX;Veliparib (ABT-888);0;1e-08;3;1;13;95.3087785508285
"ind";FOLFOX;DMSO;0;0;3;1;1;87.0400059268505
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-07;9;1;2;61.6329665989955
"ind";FOLFOX;Veliparib (ABT-888);5e-05;1e-08;9;1;13;70.8642873668617
"ind";FOLFOX;DMSO;5e-05;0;9;1;1;65.7536345123517
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-05;10;1;2;50.8784954840727
"ind";FOLFOX;Veliparib (ABT-888);1e-04;3e-06;10;1;13;37.8660450170664
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-06;11;1;2;59.7597302529616
"ind";FOLFOX;Veliparib (ABT-888);1e-04;3e-07;11;1;13;48.6993733799654
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-07;12;1;2;52.5196805653613
"ind";FOLFOX;Veliparib (ABT-888);1e-04;1e-08;12;1;13;62.748269268621
"ind";FOLFOX;DMSO;1e-04;0;12;1;1;57.7250123449892
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-05;1;1;3;67.8576664344689
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-06;1;1;14;60.2780785326525
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;1e-06;2;1;3;69.0832185686217
"ind";FOLFOX;Erlotinib HCl (OSI-744);0;3e-07;2;1;14;71.6177005640867
