"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-06;4;1;15;69.3257409674572
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-06;5;1;4;90.4799703897731
"ind";MLN8237;Vandetanib (ZD6474);1e-08;3e-07;5;1;15;95.5148478205165
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-07;6;1;4;89.2251800814281
"ind";MLN8237;Vandetanib (ZD6474);1e-08;1e-08;6;1;15;92.8292002391595
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-05;7;1;4;43.5097229735501
"ind";MLN8237;Vandetanib (ZD6474);1e-07;3e-06;7;1;15;62.6677675597187
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-06;8;1;4;74.3282749195684
"ind";MLN8237;Vandetanib (ZD6474);1e-07;3e-07;8;1;15;95.5606297867494
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-07;9;1;4;85.8420977706916
"ind";MLN8237;Vandetanib (ZD6474);1e-07;1e-08;9;1;15;100.446544999004
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-05;10;1;4;45.811120917917
"ind";MLN8237;Vandetanib (ZD6474);1e-06;3e-06;10;1;15;71.5116590268485
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-06;11;1;4;95.0053241465706
"ind";MLN8237;Vandetanib (ZD6474);1e-06;3e-07;11;1;15;102.605130541241
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-07;12;1;4;94.860917347607
"ind";MLN8237;Vandetanib (ZD6474);1e-06;1e-08;12;1;15;110.359821199784
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-05;1;1;5;95.6683654585314
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;3e-06;1;1;16;90.9145574125217
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-06;2;1;5;99.6231529197392
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;3e-07;2;1;16;96.5596332887282
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-07;3;1;5;99.0115878484184
"ind";MLN8237;Vatalanib (PTK787) 2HCl;0;1e-08;3;1;16;102.438629957578
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-05;4;1;5;91.0359593428807
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;3e-06;4;1;16;92.4968823847621
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-06;5;1;5;98.2068729892093
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;3e-07;5;1;16;101.037382911483
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-07;6;1;5;96.1202630754776
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-08;1e-08;6;1;16;90.3043589670586
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-05;7;1;5;83.4072260342226
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;3e-06;7;1;16;91.3589385872505
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-06;8;1;5;86.37781510691
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;3e-07;8;1;16;99.1578168151923
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-07;9;1;5;92.8747544344162
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-07;1e-08;9;1;16;98.4827036414885
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-05;10;1;5;95.9189135324431
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;3e-06;10;1;16;106.156991145403
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-06;11;1;5;110.058024656208
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;3e-07;11;1;16;106.769922842582
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-07;12;1;5;93.2617373231216
"ind";MLN8237;Vatalanib (PTK787) 2HCl;1e-06;1e-08;12;1;16;108.416023688182
"ind";MLN8237;Alisertib (MLN8237);0;1e-05;1;1;6;78.3206445918629
"ind";MLN8237;Alisertib (MLN8237);0;3e-06;1;1;17;84.6683939299035
"ind";MLN8237;Alisertib (MLN8237);0;1e-06;2;1;6;106.910685305925
"ind";MLN8237;Alisertib (MLN8237);0;3e-07;2;1;17;95.8136833414002
"ind";MLN8237;Alisertib (MLN8237);0;1e-07;3;1;6;89.2345186914557
"ind";MLN8237;Alisertib (MLN8237);0;1e-08;3;1;17;106.557640292686
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-05;4;1;6;77.5929163226376
"ind";MLN8237;Alisertib (MLN8237);1e-08;3e-06;4;1;17;93.7327677020756
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-06;5;1;6;99.0357315719044
"ind";MLN8237;Alisertib (MLN8237);1e-08;3e-07;5;1;17;104.859379893517
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-07;6;1;6;91.2521139993736
"ind";MLN8237;Alisertib (MLN8237);1e-08;1e-08;6;1;17;98.4669874441249
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-05;7;1;6;76.164792301341
"ind";MLN8237;Alisertib (MLN8237);1e-07;3e-06;7;1;17;96.4452922586339
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-06;8;1;6;95.7310024770094
"ind";MLN8237;Alisertib (MLN8237);1e-07;3e-07;8;1;17;106.14127494804
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-07;9;1;6;97.6677390883467
"ind";MLN8237;Alisertib (MLN8237);1e-07;1e-08;9;1;17;99.0161432679441
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-05;10;1;6;78.4042365401589
"ind";MLN8237;Alisertib (MLN8237);1e-06;3e-06;10;1;17;97.3668536286764
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-06;11;1;6;110.579620191897
"ind";MLN8237;Alisertib (MLN8237);1e-06;3e-07;11;1;17;109.858497280984
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-07;12;1;6;92.7426472681719
"ind";MLN8237;Alisertib (MLN8237);1e-06;1e-08;12;1;17;112.479002363124
"ind";MLN8237;SB525334;0;1e-05;1;1;7;95.4522108020386
"ind";MLN8237;SB525334;0;3e-06;1;1;18;91.5803319761979
"ind";MLN8237;SB525334;0;1e-06;2;1;7;100.905047974262
"ind";MLN8237;SB525334;0;3e-07;2;1;18;92.303049283945
"ind";MLN8237;SB525334;0;1e-07;3;1;7;97.0778122597728
"ind";MLN8237;SB525334;0;1e-08;3;1;18;105.386897474589
"ind";MLN8237;SB525334;1e-08;1e-05;4;1;7;86.4358967058623
"ind";MLN8237;SB525334;1e-08;3e-06;4;1;18;92.7068872248954
"ind";MLN8237;SB525334;1e-08;1e-06;5;1;7;95.8808757794038
"ind";MLN8237;SB525334;1e-08;3e-07;5;1;18;99.9351991572474
"ind";MLN8237;SB525334;1e-08;1e-07;6;1;7;90.3296415454261
"ind";MLN8237;SB525334;1e-08;1e-08;6;1;18;93.4667312017766
"ind";MLN8237;SB525334;1e-07;1e-05;7;1;7;79.8797369245224
"ind";MLN8237;SB525334;1e-07;3e-06;7;1;18;90.8792529111978
"ind";MLN8237;SB525334;1e-07;1e-06;8;1;7;91.619736355095
"ind";MLN8237;SB525334;1e-07;3e-07;8;1;18;93.8821854625174
"ind";MLN8237;SB525334;1e-07;1e-07;9;1;7;90.2938815021496
"ind";MLN8237;SB525334;1e-07;1e-08;9;1;18;98.00643453008
"ind";MLN8237;SB525334;1e-06;1e-05;10;1;7;85.4965691996697
"ind";MLN8237;SB525334;1e-06;3e-06;10;1;18;101.164706887225
"ind";MLN8237;SB525334;1e-06;1e-06;11;1;7;106.241266406628
"ind";MLN8237;SB525334;1e-06;3e-07;11;1;18;111.034023289582
"ind";MLN8237;SB525334;1e-06;1e-07;12;1;7;96.5370839620761
"ind";MLN8237;SB525334;1e-06;1e-08;12;1;18;114.346724368647
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-05;1;1;8;28.7747629758278
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;3e-06;1;1;19;94.2721293739145
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-06;2;1;8;97.9037098197762
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;3e-07;2;1;19;96.6534749309569
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-07;3;1;8;97.5244711442644
"ind";MLN8237;BGJ398 (NVP-BGJ398);0;1e-08;3;1;19;101.293625259801
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-05;4;1;8;68.5501807932124
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;3e-06;4;1;19;96.8359194829599
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-06;5;1;8;94.5664094752726
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;3e-07;5;1;19;97.6148962218489
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-07;6;1;8;95.6029951883381
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-08;1e-08;6;1;19;95.1882242405262
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-05;7;1;8;32.4350425647012
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;3e-06;7;1;19;89.4431569057313
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-06;8;1;8;95.3415141075648
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;3e-07;8;1;19;95.933263103949
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-07;9;1;8;90.9660336531617
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-07;1e-08;9;1;19;91.9160663952396
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-05;10;1;8;21.8915240725451
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;3e-06;10;1;19;106.707058053128
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-06;11;1;8;106.575634199812
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;3e-07;11;1;19;107.683512228454
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-07;12;1;8;101.033283033909
"ind";MLN8237;BGJ398 (NVP-BGJ398);1e-06;1e-08;12;1;19;118.005409560687
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-05;1;1;9;22.7764143154059
"ind";MLN8237;CX-4945 (Silmitasertib);0;3e-06;1;1;20;59.063519631011
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-06;2;1;9;81.3527318281468
"ind";MLN8237;CX-4945 (Silmitasertib);0;3e-07;2;1;20;91.7712040543234
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-07;3;1;9;93.2699370782678
"ind";MLN8237;CX-4945 (Silmitasertib);0;1e-08;3;1;20;98.8362041966802
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;1e-05;4;1;9;25.2431739885545
"ind";MLN8237;CX-4945 (Silmitasertib);1e-08;3e-06;4;1;20;54.8137687555163
