"Ind";"Anchor";"Compound";"DoseAnchor(M)";"DoseCompound(M)";"plate";"row";"col";"Viability"
"ind";Abraxane;Veliparib (ABT-888);0;1e-05;1;1;2;88.3528419454632
"ind";Abraxane;Veliparib (ABT-888);0;3e-06;1;1;13;95.8689644351912
"ind";Abraxane;Veliparib (ABT-888);0;1e-06;2;1;2;103.90066443859
"ind";Abraxane;Veliparib (ABT-888);0;3e-07;2;1;13;106.570214233442
"ind";Abraxane;Veliparib (ABT-888);0;1e-07;3;1;2;96.8630223728316
"ind";Abraxane;Veliparib (ABT-888);0;1e-08;3;1;13;104.875093333621
"ind";Abraxane;DMSO;0;0;3;1;1;99.8401538628808
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-05;4;1;2;86.1280970611136
"ind";Abraxane;Veliparib (ABT-888);0.00025;3e-06;4;1;13;91.4920480992581
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-06;5;1;2;105.374823546837
"ind";Abraxane;Veliparib (ABT-888);0.00025;3e-07;5;1;13;104.777848535374
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-07;6;1;2;96.5293286484751
"ind";Abraxane;Veliparib (ABT-888);0.00025;1e-08;6;1;13;105.546982856327
"ind";Abraxane;DMSO;0.00025;0;6;1;1;98.0433536219298
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-05;7;1;2;79.4372947757708
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-06;7;1;13;84.3474367554273
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-06;8;1;2;90.7148100451175
"ind";Abraxane;Veliparib (ABT-888);0.0025;3e-07;8;1;13;94.9687297195636
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-07;9;1;2;85.2932324598634
"ind";Abraxane;Veliparib (ABT-888);0.0025;1e-08;9;1;13;96.3530274309117
"ind";Abraxane;DMSO;0.0025;0;9;1;1;86.8517604347383
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-05;10;1;2;64.5327286147546
"ind";Abraxane;Veliparib (ABT-888);0.025;3e-06;10;1;13;59.3908198659417
"ind";Abraxane;Veliparib (ABT-888);0.025;1e-06;11;1;2;69.88335351388
