"Drug","Gene Name","Dose (uM)","Value"
"Abemaciclib","CDK2",3,-0.6071668788696444
"Abemaciclib","CDK2",0.3,-0.20747651932563324
"Abemaciclib","CDK2",0.03,-0.3146494966903148
"Abemaciclib","CDK2",0.003,-0.18210275371893936
"Abemaciclib","CDK4",1,-3.051012890148104
"Abemaciclib","CDK4",0.1,-0.6478305587920226
"Abemaciclib","CDK4",0.01,1.26187043456553
"Abemaciclib","CDK4",30,-13.019319095130292
"Abemaciclib","CDK4",3,-13.019319095130292
"Abemaciclib","CDK4",0.3,-0.577927795258839
"Abemaciclib","CDK4",0.03,1.3552199479766025
"Abemaciclib","CDK4",0.003,1.0760279019544996
"Abemaciclib","CDK6",1,-1.977149258344198
"Abemaciclib","CDK6",0.1,-1.1526463929099098
"Abemaciclib","CDK6",0.01,0.21614620210967017
"Abemaciclib","CDK6",30,-13.019319095130292
"Abemaciclib","CDK6",3,-13.019319095130292
"Abemaciclib","CDK6",0.3,-13.019319095130292
"Abemaciclib","CDK6",0.03,-0.3110833012398946
"Abemaciclib","CDK6",0.003,-0.02386834064052097
"Abemaciclib","CDK9",1,-2.0409034706368097
"Abemaciclib","CDK9",0.1,-0.31316272204656304
"Abemaciclib","CDK9",0.01,0.009333745510196114
"Abemaciclib","CDK9",30,-3.919260331000312
"Abemaciclib","CDK9",3,-2.8459722979244413
"Abemaciclib","CDK9",0.3,-1.0870638621714155
"Abemaciclib","CDK9",0.03,-0.21943373635249944
"Abemaciclib","CDK9",0.003,0.0812024356181211
"Abemaciclib","CIT",1,-0.8673398377014213
"Abemaciclib","CIT",0.1,0.7417022478896307
"Abemaciclib","CIT",0.01,0.11817607000288548
"Abemaciclib","CIT",30,-3.3433108937360716
"Abemaciclib","CIT",3,-1.5472765200154768
"Abemaciclib","CIT",0.3,0.18888606340524927
"Abemaciclib","CIT",0.03,0.36703016352766243
"Abemaciclib","CIT",0.003,0.17624462400429913
"Abemaciclib","CLK1",1,-13.019319095130292
"Abemaciclib","CLK1",0.1,-13.019319095130292
"Abemaciclib","CLK1",0.01,-13.019319095130292
"Abemaciclib","CLK1",30,-13.019319095130292
"Abemaciclib","CLK1",3,-13.019319095130292
"Abemaciclib","CLK1",0.3,-13.019319095130292
"Abemaciclib","CLK1",0.03,-0.52218293089289
"Abemaciclib","CLK1",0.003,0.2071451379497763
"Abemaciclib","CLK4",1,-13.019319095130292
"Abemaciclib","CLK4",0.1,-0.3789549440129036
"Abemaciclib","CLK4",0.01,-0.6420854206358986
"Abemaciclib","CLK4",30,-13.019319095130292
"Abemaciclib","CLK4",3,-13.019319095130292
"Abemaciclib","CLK4",0.3,-13.019319095130292
"Abemaciclib","CLK4",0.03,-13.019319095130292
"Abemaciclib","CLK4",0.003,0.3674662701990627
"Abemaciclib","CSNK2A1;CSNK2A3",1,-4.3617469530147055
"Abemaciclib","CSNK2A1;CSNK2A3",0.1,-2.8986834795042813
"Abemaciclib","CSNK2A1;CSNK2A3",0.01,-1.2827447103392509
"Abemaciclib","CSNK2A1;CSNK2A3",30,-3.2139617998118943
"Abemaciclib","CSNK2A1;CSNK2A3",3,-5.799772362695749
"Abemaciclib","CSNK2A1;CSNK2A3",0.3,-4.175781618766364
"Abemaciclib","CSNK2A1;CSNK2A3",0.03,-1.802790051955147
"Abemaciclib","CSNK2A1;CSNK2A3",0.003,-0.921879178154968
"Abemaciclib","CSNK2A2",1,-6.555646773250434
"Abemaciclib","CSNK2A2",0.1,-3.038453372505925
"Abemaciclib","CSNK2A2",0.01,-0.45443214659478287
"Abemaciclib","CSNK2A2",30,-5.151482961347628
"Abemaciclib","CSNK2A2",3,-13.019319095130292
"Abemaciclib","CSNK2A2",0.3,-5.407134668751394
"Abemaciclib","CSNK2A2",0.03,-1.4503683264442533
"Abemaciclib","CSNK2A2",0.003,-0.09097572753675272
"Abemaciclib","CSNK2B",1,-13.019319095130292
"Abemaciclib","CSNK2B",0.1,-1.2654948133446833
"Abemaciclib","CSNK2B",0.01,-0.2944146023255091
"Abemaciclib","CSNK2B",30,-13.019319095130292
"Abemaciclib","CSNK2B",3,-13.019319095130292
"Abemaciclib","CSNK2B",0.3,-13.019319095130292
"Abemaciclib","CSNK2B",0.03,-0.33028551168894915
"Abemaciclib","CSNK2B",0.003,0.729278555230896
"Abemaciclib","DCAF7",1,-13.019319095130292
"Abemaciclib","DCAF7",0.1,-1.581289775454038
"Abemaciclib","DCAF7",0.01,0.06885953243832126
"Abemaciclib","DCAF7",30,-2.3655998641011613
"Abemaciclib","DCAF7",3,-13.019319095130292
"Abemaciclib","DCAF7",0.3,-1.8658184441211367
"Abemaciclib","DCAF7",0.03,-0.8258913910145236
"Abemaciclib","DCAF7",0.003,-0.12294853334577655
"Abemaciclib","DYRK1A",1,-13.019319095130292
"Abemaciclib","DYRK1A",0.1,-0.9107955062416995
"Abemaciclib","DYRK1A",0.01,-0.12373648503550705
"Abemaciclib","DYRK1A",30,-13.019319095130292
"Abemaciclib","DYRK1A",3,-13.019319095130292
"Abemaciclib","DYRK1A",0.3,-1.0239584671160014
"Abemaciclib","DYRK1A",0.03,-0.09612502646102494
"Abemaciclib","DYRK1A",0.003,-0.25203404320409567
"Abemaciclib","EIF2AK1",1,0.20213456638236352
"Abemaciclib","EIF2AK1",0.1,0.40730691218077886
"Abemaciclib","EIF2AK1",0.01,-0.5703547927472173
"Abemaciclib","EIF2AK1",30,-13.019319095130292
"Abemaciclib","EIF2AK1",3,-0.17205124625589088
"Abemaciclib","EIF2AK1",0.3,0.09871553783614635
"Abemaciclib","EIF2AK1",0.03,0.013120796077856284
"Abemaciclib","EIF2AK1",0.003,-0.1719556889828338
"Abemaciclib","EIF3J",1,-3.330779938142257
"Abemaciclib","EIF3J",0.1,-0.9322705736210197
"Abemaciclib","EIF3J",0.01,0.5273176072665202
"Abemaciclib","EIF3J",30,-3.493207527698963
"Abemaciclib","EIF3J",3,-3.707567230514634
"Abemaciclib","EIF3J",0.3,-2.598655488341618
"Abemaciclib","EIF3J",0.03,0.9876629574021606
"Abemaciclib","EIF3J",0.003,1.4867263154755554
"Abemaciclib","EIF4G1",1,-0.35346787227745624
"Abemaciclib","EIF4G1",0.1,0.4834769232152636
"Abemaciclib","EIF4G1",0.01,-1.1040841708233187
"Abemaciclib","EIF4G1",30,-13.019319095130292
"Abemaciclib","EIF4G1",3,-13.019319095130292
"Abemaciclib","EIF4G1",0.3,-0.3809192501248438
"Abemaciclib","EIF4G1",0.03,0.015584733692161942
"Abemaciclib","EIF4G1",0.003,-0.26940632493799693
"Abemaciclib","GAK",1,-0.1396459870294934
"Abemaciclib","GAK",0.1,0.062278893754246153
"Abemaciclib","GAK",0.01,-0.13234969458568116
"Abemaciclib","GAK",30,-1.5843187727058419
"Abemaciclib","GAK",3,-0.45786052213583633
"Abemaciclib","GAK",0.3,0.03518167095166204
"Abemaciclib","GAK",0.03,-0.13001384543965155
"Abemaciclib","GAK",0.003,-0.05410112555396522
"Abemaciclib","GSK3A",1,-3.818507749251443
"Abemaciclib","GSK3A",0.1,-2.4765952708213024
"Abemaciclib","GSK3A",0.01,-0.2389950697684663
"Abemaciclib","GSK3A",30,-3.2999677388232342
"Abemaciclib","GSK3A",3,-5.195585764019714
"Abemaciclib","GSK3A",0.3,-2.719478900880648
"Abemaciclib","GSK3A",0.03,-1.0792679301696047
"Abemaciclib","GSK3A",0.003,-0.13747308618248225
"Abemaciclib","GSK3B",1,-2.605647338226924
"Abemaciclib","GSK3B",0.1,-1.5172515400507542
"Abemaciclib","GSK3B",0.01,0.28381690790905495
"Abemaciclib","GSK3B",30,-3.2869824180053975
"Abemaciclib","GSK3B",3,-4.207024301958196
"Abemaciclib","GSK3B",0.3,-2.2493715224163577
"Abemaciclib","GSK3B",0.03,-0.9348875745041335
"Abemaciclib","GSK3B",0.003,0.1537056397891358
"Abemaciclib","ICK",1,-13.019319095130292
"Abemaciclib","ICK",0.1,-0.8975022662131938
"Abemaciclib","ICK",0.01,-0.9154362167902736
"Abemaciclib","ICK",30,-13.019319095130292
"Abemaciclib","ICK",3,-13.019319095130292
"Abemaciclib","ICK",0.3,-1.2656847447908013
"Abemaciclib","ICK",0.03,-0.6750960820514706
"Abemaciclib","ICK",0.003,-0.7861141822514701
"Abemaciclib","IRAK1",1,-1.840374784118678
"Abemaciclib","IRAK1",0.1,-0.8453330563662274
"Abemaciclib","IRAK1",0.01,-0.5588763153812896
"Abemaciclib","IRAK1",30,-13.019319095130292
"Abemaciclib","IRAK1",3,-13.019319095130292
"Abemaciclib","IRAK1",0.3,-1.2642463596731786
"Abemaciclib","IRAK1",0.03,-0.4125551048034806
"Abemaciclib","IRAK1",0.003,-0.03031944940388522
"Abemaciclib","MAP4K4",1,-0.9816333441176899
"Abemaciclib","MAP4K4",0.1,-0.2543647209173573
"Abemaciclib","MAP4K4",0.01,-1.2636414729754621
"Abemaciclib","MAP4K4",30,-13.019319095130292
"Abemaciclib","MAP4K4",3,-13.019319095130292
"Abemaciclib","MAP4K4",0.3,-1.120908500816664
"Abemaciclib","MAP4K4",0.03,-0.640031682604828
"Abemaciclib","MAP4K4",0.003,-0.35733390224490874
"Abemaciclib","MAPK8",1,-0.5366568489496568
"Abemaciclib","MAPK8",0.1,-0.5834851506945299
